"","GBCODE","W1","W2","mean","se","df"
"1599",510321,0.3052,0.6948,21.8178350769231,0.573142097836871,240
"1600",510322,0.3056,0.6944,21.8234436923077,0.573285519452734,240
"1601",510400,0.601,0.399,25.9654061538462,0.68530905778799,240
"1602",510401,0.601,0.399,25.9654061538462,0.68530905778799,240
"1603",510421,0.2659,0.7341,21.2667886153846,0.559183976671646,240
"1604",510422,0.1935,0.8065,20.2516292307692,0.534210391855374,240
"1605",510501,0.3526,0.6474,22.482456,0.590317529293317,240
"1606",510503,0.3916,0.6084,23.029296,0.604707333144695,240
"1607",510521,0.3204,0.6796,22.0309624615385,0.578610657508069,240
"1608",510522,0.3028,0.6972,21.7841833846154,0.572282128031596,240
"1609",510524,0.2381,0.7619,20.8769898461538,0.549476287884388,240
"1610",510525,0.1711,0.8289,19.9375467692308,0.526695347154253,240
"1611",510601,0.4132,0.5868,23.3321612307692,0.612770837187885,240
"1612",510623,0.2269,0.7731,20.7199486153846,0.545606101034296,240
"1613",510681,0.399,0.601,23.1330553846154,0.607462516104755,240
"1614",510682,0.4542,0.5458,23.9070443076923,0.628249317494843,240
"1615",510683,0.4018,0.5982,23.1723156923077,0.608507019500377,240
"1616",510701,0.3985,0.6015,23.1260446153846,0.607276112798032,240
"1617",510722,0.1984,0.8016,20.3203347692308,0.535868208457516,240
"1618",510723,0.2331,0.7669,20.8068821538462,0.547745568329097,240
"1619",510724,0.2624,0.7376,21.2177132307692,0.557954012905609,240
"1620",510725,0.205,0.795,20.4128769230769,0.538108905294043,240
"1621",510726,0.2824,0.7176,21.498144,0.565011705906452,240
"1622",510727,0.2435,0.7565,20.9527061538462,0.551350767140854,240
"1623",510781,0.4096,0.5904,23.2816836923077,0.611422438827295,240
"1624",510801,0.3298,0.6702,22.1627649230769,0.582011300337976,240
"1625",510821,0.3536,0.6464,22.4964775384615,0.590683674953112,240
"1626",510822,0.1882,0.8118,20.1773150769231,0.532422800139178,240
"1627",510823,0.2305,0.7695,20.7704261538462,0.546847475084122,240
"1628",510824,0.2284,0.7716,20.7409809230769,0.546123037354963,240
"1629",510901,0.3688,0.6312,22.7096049230769,0.596267643945591,240
"1630",510921,0.27,0.73,21.3242769230769,0.560627582292831,240
"1631",510922,0.388,0.612,22.9788184615385,0.603369773015168,240
"1632",511001,0.3784,0.6216,22.8442116923077,0.599812017551905,240
"1633",511024,0.4151,0.5849,23.3588021538462,0.613483204159144,240
"1634",511025,0.2224,0.7776,20.6568516923077,0.544057901388218,240
"1635",511028,0.4572,0.5428,23.9491089230769,0.629390424977484,240
"1636",511101,0.3947,0.6053,23.0727627692308,0.605860593049822,240
"1637",511123,0.2631,0.7369,21.2275283076923,0.558199829343429,240
"1638",511124,0.2588,0.7412,21.1672356923077,0.556691212850441,240
"1639",511126,0.2519,0.7481,21.0704870769231,0.554277439001985,240
"1640",511129,0.2089,0.7911,20.4675609230769,0.539437077864742,240
"1641",511132,0.2575,0.7425,21.1490076923077,0.556235779343145,240
"1642",511133,0.1388,0.8612,19.4846510769231,0.51604960102877,240
"1643",511181,0.5042,0.4958,24.6081212307692,0.647411609113424,240
"1644",511300,0.3591,0.6409,22.573596,0.592700186136116,240
"1645",511301,0.3591,0.6409,22.573596,0.592700186136116,240
"1646",511321,0.2684,0.7316,21.3018424615385,0.560063867082108,240
"1647",511322,0.2451,0.7549,20.9751406153846,0.551907217831156,240
"1648",511323,0.3534,0.6466,22.4936732307692,0.590610433649352,240
"1649",511324,0.3726,0.6274,22.7628867692308,0.597669009791382,240
"1650",511325,0.275,0.725,21.3943846153846,0.562392120120403,240
"1651",511381,0.3327,0.6673,22.2034273846154,0.583063280926328,240
"1652",511500,0.3355,0.6645,22.2426876923077,0.584080247831653,240
"1653",511521,0.1953,0.8047,20.276868,0.534818814711242,240
"1654",511522,0.3549,0.6451,22.5147055384615,0.591159891560014,240
"1655",511523,0.2969,0.7031,21.7014563076923,0.570172137917786,240
"1656",511524,0.3033,0.6967,21.7911941538462,0.572461209142631,240
"1657",511525,0.2527,0.7473,21.0817043076923,0.554556850042417,240
"1658",511526,0.4134,0.5866,23.3349655384615,0.612845800064018,240
"1659",511527,0.2313,0.7687,20.7816433846154,0.547123673806891,240
"1660",511528,0.2267,0.7733,20.7171443076923,0.545537208960415,240
"1661",511529,0.1145,0.8855,19.1439276923077,0.508196610560911,240
"1662",511600,0.2907,0.7093,21.6145227692308,0.567961202114478,240
"1663",511621,0.2244,0.7756,20.6848947692308,0.544745505691842,240
"1664",511622,0.2252,0.7748,20.696112,0.545020764669924,240
"1665",511623,0.2677,0.7323,21.2920273846154,0.559817385174884,240
"1666",511681,0.4283,0.5717,23.5438864615385,0.618445711627313,240
"1667",511700,0.3271,0.6729,22.1249067692308,0.581033071517073,240
"1668",511781,0.318,0.682,21.9973107692308,0.577744688719675,240
"1669",511721,0.2693,0.7307,21.3144618461538,0.560380900793433,240
"1670",511722,0.294,0.706,21.6607938461538,0.569137177044066,240
"1671",511723,0.2914,0.7086,21.6243378461538,0.568210496102044,240
"1672",511724,0.3119,0.6881,21.9117793846154,0.575547906764842,240
"1673",511725,0.2465,0.7535,20.9947707692308,0.552394503640979,240
"1674",511800,0.3462,0.6538,22.3927181538462,0.587977816066429,240
"1675",511821,0.2033,0.7967,20.3890403076923,0.537530914148924,240
"1676",511822,0.3935,0.6065,23.0559369230769,0.605414008817969,240
"1677",511823,0.1662,0.8338,19.8688412307692,0.525065617694817,240
"1678",511824,0.3191,0.6809,22.0127344615385,0.578141475161585,240
"1679",511825,0.3949,0.6051,23.0755670769231,0.605935043492235,240
"1680",511826,0.3715,0.6285,22.7474630769231,0.597263132649262,240
"1681",511827,0.279,0.721,21.4504707692308,0.563806923141542,240
"1682",513221,0.3962,0.6038,23.0937950769231,0.606419108594937,240
"1683",513222,0.3249,0.6751,22.0940593846154,0.580236856894453,240
"1684",513223,0.3738,0.6262,22.7797126153846,0.598111987379676,240
"1685",513224,0.2698,0.7302,21.3214726153846,0.560557092968345,240
"1686",513225,0.511,0.489,24.7034676923077,0.650040570465744,240
"1687",513226,0.3243,0.6757,22.0856464615385,0.580019842049445,240
"1688",513227,0.1578,0.8422,19.7510603076923,0.522283913847572,240
"1689",513228,0.1767,0.8233,20.0160673846154,0.528564197229629,240
"1690",513229,0.4925,0.5075,24.4440692307692,0.642900782698919,240
"1691",513230,0.0978,0.9022,18.909768,0.50288104852462,240
"1692",513231,0.1888,0.8112,20.185728,0.532624877379918,240
"1693",513232,0.1588,0.8412,19.7650818461538,0.522614260139798,240
"1694",513233,0.2878,0.7122,21.5738603076923,0.566929306702668,240
"1695",513321,0.4644,0.5356,24.050064,0.632133686031094,240
"1696",513322,0.3061,0.6939,21.8304544615385,0.573464833887849,240
"1697",513323,0.168,0.832,19.89408,0.525663692468247,240
"1698",513324,0.1283,0.8717,19.3374249230769,0.512639447346868,240
"1699",513325,0.1452,0.8548,19.5743889230769,0.518140533292048,240
"1700",513326,0.1743,0.8257,19.9824156923077,0.52776244255986,240
"1701",513327,0.1774,0.8226,20.0258824615385,0.528798272809542,240
"1702",513328,0.1479,0.8521,19.6122470769231,0.51902541902623,240
"1703",513329,0.0723,0.9277,18.5522187692308,0.494897790048478,240
"1704",513330,0.0787,0.9213,18.6419566153846,0.496885943888386,240
"1705",513331,0.0759,0.9241,18.6026963076923,0.496014831874952,240
"1706",513332,0.0849,0.9151,18.7288901538462,0.498821945558135,240
"1707",513333,0.1201,0.8799,19.2224483076923,0.509994086120895,240
"1708",513334,0.3039,0.6961,21.7996070769231,0.572676161589023,240
"1709",513335,0.1751,0.8249,19.9936329230769,0.52802955797439,240
"1710",513336,0.1457,0.8543,19.5813996923077,0.518304277383561,240
"1711",513337,0.1557,0.8443,19.7216150769231,0.52159090300825,240
"1712",513338,0.1199,0.8801,19.219644,0.509929762540226,240
"1713",513401,0.6551,0.3449,26.7239713846154,0.706897409719596,240
"1714",513422,0.2187,0.7813,20.604972,0.542787887354632,240
"1715",513423,0.1697,0.8303,19.9179166153846,0.526229182662096,240
"1716",513424,0.3321,0.6679,22.1950144615385,0.582845520461266,240
"1717",513425,0.3094,0.6906,21.8767255384615,0.574649349065083,240
"1718",513426,0.1927,0.8073,20.240412,0.533940195310635,240
"1719",513427,0.3188,0.6812,22.008528,0.578033241202988,240
"1720",513428,0.1118,0.8882,19.1060695384615,0.507332640683133,240
"1721",513429,0.1181,0.8819,19.1944052307692,0.509351276095316,240
"1722",513430,0.1268,0.8732,19.3163926153846,0.512154363913411,240
"1723",513431,0.0905,0.9095,18.8074107692308,0.500578936290268,240
"1724",513432,0.1969,0.8031,20.2993024615385,0.535360192227156,240
"1725",513433,0.2853,0.7147,21.5388064615385,0.566040902113828,240
"1726",513434,0.2189,0.7811,20.6077763076923,0.542856468352597,240
"1727",513435,0.1963,0.8037,20.2908895384615,0.53515711431161,240
"1728",513436,0.0585,0.9415,18.3587215384615,0.490647031282291,240
"1729",513437,0.1821,0.8179,20.0917836923077,0.530372605389465,240
"1730",511901,0.2847,0.7153,21.5303935384615,0.565827845495414,240
"1731",511921,0.188,0.812,20.1745107692308,0.532355457663088,240
"1732",511922,0.1908,0.8092,20.2137710769231,0.533299006862964,240
"1733",511923,0.2462,0.7538,20.9905643076923,0.55229005454824,240
"1734",511400,0.3306,0.6694,22.1739821538462,0.582301368683595,240
"1735",511421,0.2164,0.7836,20.5727224615385,0.541999769944682,240
"1736",511422,0.5259,0.4741,24.9123886153846,0.655819442453272,240
"1737",511423,0.3004,0.6996,21.7505316923077,0.57142312116656,240
"1738",511424,0.4385,0.5615,23.6869061538462,0.622296214508266,240
"1739",511425,0.3488,0.6512,22.4291741538462,0.588927567338137,240
"1740",512000,0.3072,0.6928,21.8458781538462,0.573859471797526,240
"1741",510502,0.5732,0.4268,25.5756073846154,0.674324809968634,240
"1742",510904,0.137,0.863,19.4594123076923,0.51546320408626,240
"1743",512022,0.2883,0.7117,21.5808710769231,0.567107116750184,240
"1744",520101,0.6784,0.3216,27.0506732307692,0.716276601830786,240
"1745",520121,0.3137,0.6863,21.9370181538462,0.576195504611332,240
"1746",520122,0.2824,0.7176,21.498144,0.565011705906452,240
"1747",520123,0.2925,0.7075,21.6397615384615,0.568602412842932,240
"1748",520181,0.3568,0.6432,22.5413464615385,0.591856361344316,240
"1749",520201,0.7975,0.2025,28.7206384615385,0.764905533103644,240
"1750",520222,0.1702,0.8298,19.9249273846154,0.52639562165899,240
"1751",520203,0.2626,0.7374,21.2205175384615,0.558024237159186,240
"1752",520221,0.0268,0.9732,17.9142387692308,0.481076092086268,240
"1753",520300,0.3502,0.6498,22.4488043076923,0.589439401705268,240
"1754",520321,0.2971,0.7029,21.7042606153846,0.570243567020816,240
"1755",520322,0.2831,0.7169,21.5079590769231,0.565259999119372,240
"1756",520323,0.2741,0.7259,21.3817652307692,0.562074177102106,240
"1757",520324,0.2561,0.7439,21.1293775384615,0.555745656616523,240
"1758",520325,0.2551,0.7449,21.115356,0.555395787957833,240
"1759",520326,0.2655,0.7345,21.26118,0.559043298005921,240
"1760",520327,0.2621,0.7379,21.2135067692308,0.557848690055312,240
"1761",520328,0.2782,0.7218,21.4392535384615,0.563523738079266,240
"1762",520329,0.3292,0.6708,22.154352,0.581793815822053,240
"1763",520330,0.2574,0.7426,21.1476055384615,0.556200758731456,240
"1764",520381,0.3412,0.6588,22.3226104615385,0.586154304412006,240
"1765",520382,0.3129,0.6871,21.9258009230769,0.575907617722255,240
"1766",522201,0.57,0.43,25.5307384615385,0.673065432888339,240
"1767",522222,0.2351,0.7649,20.8349252307692,0.548437286677382,240
"1768",522223,0.3954,0.6046,23.0825778461538,0.606121194240862,240
"1769",522224,0.241,0.759,20.9176523076923,0.550482271594933,240
"1770",522225,0.2312,0.7688,20.7802412307692,0.547089142266698,240
"1771",522226,0.2334,0.7666,20.8110886153846,0.547849277532374,240
"1772",522227,0.2186,0.7814,20.6035698461538,0.542753599794518,240
"1773",522228,0.1722,0.8278,19.9529704615385,0.52706191418151,240
"1774",522229,0.1744,0.8256,19.9838178461538,0.527795824530571,240
"1775",522230,0.2592,0.7408,21.1728443076923,0.55683140802309,240
"1776",522301,0.4281,0.5719,23.5410821538462,0.618370348499681,240
"1777",522322,0.2705,0.7295,21.3312876923077,0.560803836716866,240
"1778",522323,0.203,0.797,20.3848338461538,0.537428976180621,240
