"","GBCODE","W1","W2","mean","se","df","ci.low","ci.up"
"149",131025,0.3587,0.6413,22.5679873846154,0.592553376717296,240,21.4007178891633,23.7352568800675
"150",131026,0.4335,0.5665,23.6167984615385,0.620407007106689,240,22.394660165454,24.8389367576229
"151",131028,0.4281,0.5719,23.5410821538462,0.618370348499681,240,22.3229558667351,24.7592084409572
"152",131081,0.4683,0.5317,24.104748,0.633622309438931,240,22.8565769111044,25.3529190888956
"153",131082,0.5934,0.4066,25.8588424615385,0.68229854170668,240,24.5147841778142,27.2029007452627
"154",131100,0.3819,0.6181,22.8932870769231,0.601107578361466,240,21.7091666798821,24.077407473964
"155",131121,0.3326,0.6674,22.2020252307692,0.58302698356192,240,21.0535217546647,23.3505287068738
"156",131122,0.2543,0.7457,21.1041387692308,0.555116024697828,240,20.0106170249853,22.1976605134762
"157",131123,0.2387,0.7613,20.8854027692308,0.549684292413162,240,19.8025809815673,21.9682245568943
"158",131124,0.2938,0.7062,21.6579895384615,0.569065853031767,240,20.5369880603714,22.7789910165517
"159",131125,0.3491,0.6509,22.4333806153846,0.589037220847034,240,21.2730375870659,23.5937236437033
"160",131126,0.3258,0.6742,22.1066787692308,0.580562487408325,240,20.9630300982709,23.2503274401907
"161",131127,0.3458,0.6542,22.3871095384615,0.587831792845796,240,21.2291410799117,23.5450779970114
"162",131128,0.2746,0.7254,21.388776,0.562250794482621,240,20.2811994896287,22.4963525103713
"163",131181,0.4568,0.5432,23.9435003076923,0.629238211827974,240,22.7039654423125,25.1830351730721
"164",131182,0.3673,0.6327,22.6885726153846,0.595715059900361,240,21.5150749277073,23.8620703030619
"165",140101,0.4805,0.5195,24.2758107692308,0.638291065548828,240,23.0184427087156,25.533178829746
"166",140121,0.2749,0.7251,21.3929824615385,0.562356786067839,240,20.2851971585941,22.5007677644828
"167",140122,0.2982,0.7018,21.7196843076923,0.570636547837363,240,20.5955887216192,22.8437798937655
"168",140123,0.3524,0.6476,22.4796516923077,0.590244318430385,240,21.3169308053142,23.6423725793012
"169",140181,0.7125,0.2875,27.5288076923077,0.730086189621758,240,26.0906126339696,28.9670027506457
"170",140201,0.5492,0.4508,25.2390904615385,0.664905398198442,240,23.9292948900776,26.5488860329993
"171",140221,0.3146,0.6854,21.9496375384615,0.576519502655873,240,20.8139531336041,23.0853219433189
"172",140222,0.3104,0.6896,21.8907470769231,0.575008648576069,240,20.7580388999444,23.0234552539017
"173",140223,0.1811,0.8189,20.0777621538462,0.530037251067313,240,19.0336430264661,21.1218812812262
"174",140224,0.2115,0.7885,20.5040169230769,0.540324214349223,240,19.4396335310557,21.5684003150981
"175",140225,0.3082,0.6918,21.8598996923077,0.574218407636716,240,20.7287482090866,22.9910511755288
"176",140226,0.4068,0.5932,23.2424233846154,0.610374912210013,240,22.0400472885427,24.444799480688
"177",140227,0.313,0.687,21.9272030769231,0.575943597845238,240,20.7926531455902,23.061753008256
"178",140301,0.6001,0.3999,25.9527867692308,0.684952254337622,240,24.6035009432706,27.3020725951909
"179",140321,0.3102,0.6898,21.8879427692308,0.574936775479181,240,20.7553761748957,23.0205093635658
"180",140322,0.3007,0.6993,21.7547381538462,0.571530444215444,240,20.6288816834118,22.8805946242805
"181",140401,0.4184,0.5816,23.4050732307692,0.614721636471902,240,22.1941345328528,24.6160119286857
"182",140421,0.2611,0.7389,21.1994852307692,0.557497731259002,240,20.1012717684015,22.297698693137
"183",140423,0.3798,0.6202,22.8638418461538,0.600330029078118,240,21.6812531416073,24.0464305507004
"184",140424,0.2825,0.7175,21.4995461538462,0.565047171156643,240,20.3864610676779,22.6126312400144
"185",140425,0.2067,0.7933,20.4367135384615,0.538687477597262,240,19.3755543502973,21.4978727266258
"186",140426,0.3204,0.6796,22.0309624615385,0.578610657508069,240,20.8911586956831,23.1707662273938
"187",140427,0.2022,0.7978,20.3736166153846,0.537157230443558,240,19.3154718574695,21.4317613732997
"188",140428,0.2157,0.7843,20.5629073846154,0.541760114548133,240,19.4956954161881,21.6301193530426
"189",140429,0.2532,0.7468,21.0887150769231,0.554731541664624,240,19.9959507248955,22.1814794289507
"190",140430,0.3091,0.6909,21.8725190769231,0.57454159139597,240,20.740730954779,23.0043071990672
"191",140431,0.334,0.666,22.2216553846154,0.583535290403282,240,21.0721505960662,23.3711601731646
"192",140481,0.4676,0.5324,24.0949329230769,0.633354982285152,240,22.8472884413094,25.3425774048445
"193",140501,0.5104,0.4896,24.6950547692308,0.649808390172554,240,23.4149987581769,25.9751107802847
"194",140521,0.3303,0.6697,22.1697756923077,0.582192581143707,240,21.0229159035535,23.3166354810619
"195",140522,0.3806,0.6194,22.8750590769231,0.600626163155634,240,21.6918870185576,24.0582311352885
"196",140524,0.3186,0.6814,22.0057236923077,0.577961093341901,240,20.8671995013671,23.1442478832482
"197",140581,0.4402,0.5598,23.7107427692308,0.622939286986674,240,22.4836161409994,24.9378693974622
"198",140601,0.4628,0.5372,24.0276295384615,0.631523513778704,240,22.7835928621735,25.2716662147495
"199",140621,0.4334,0.5666,23.6153963076923,0.620369256318442,240,22.3933323767963,24.8374602385883
"200",140622,0.2776,0.7224,21.4308406153846,0.563311422812592,240,20.3211747757744,22.5405064549948
"201",140623,0.4569,0.5431,23.9449024615385,0.62927626322944,240,22.7052926387929,25.184512284284
"202",140624,0.5086,0.4914,24.669816,0.649112096132662,240,23.3911316169286,25.9485003830714
"203",140902,0.5138,0.4862,24.742728,0.651124620780955,240,23.4600791493834,26.0253768506166
"204",140981,0.4124,0.5876,23.320944,0.612471040175225,240,22.1144387464059,24.5274492535941
"205",140921,0.2973,0.7027,21.7070649230769,0.570315002882892,240,20.5836027476492,22.8305270985047
"206",140922,0.254,0.746,21.0999323076923,0.555011143688931,240,20.0066171682983,22.1932474470863
"207",140923,0.3527,0.6473,22.4838581538462,0.590354137009686,240,21.320920935493,23.6467953721993
"208",140924,0.357,0.643,22.5441507692308,0.591929705724461,240,21.3781098417925,23.710191696669
"209",140925,0.4075,0.5925,23.2522384615385,0.610636692805762,240,22.0493466844893,24.4551302385876
"210",140926,0.2884,0.7116,21.5822732307692,0.56714268391484,240,20.4650601989743,22.6994862625641
"211",140927,0.2886,0.7114,21.5850775384615,0.567213823396719,240,20.4677243691695,22.7024307077535
"212",140928,0.3684,0.6316,22.7039963076923,0.596120255645352,240,21.5297004258752,23.8782921895094
"213",140929,0.3915,0.6085,23.0278938461538,0.604670153842575,240,21.8367555400979,24.2190321522098
"214",140930,0.4039,0.5961,23.2017609230769,0.609291112831963,240,22.001519800836,24.4020020453179
"215",140931,0.3157,0.6843,21.9650612307692,0.576915680112857,240,20.8285963968763,23.1015260646622
"216",140932,0.3918,0.6082,23.0321003076923,0.604781695999685,240,21.8407422750049,24.2234583403798
"217",141181,0.5722,0.4278,25.5615858461538,0.673931141948282,240,24.2340104834254,26.8891612088823
"218",141102,0.7812,0.2188,28.4920873846154,0.758186970995383,240,26.9985366635056,29.9856381057251
"219",141182,0.3585,0.6415,22.5651830769231,0.592479981042751,240,21.3980581634367,23.7323079904095
"220",141121,0.2607,0.7393,21.1938766153846,0.557357398354564,240,20.0959395944735,22.2918136362958
"221",141122,0.4478,0.5522,23.8173064615385,0.625818763639328,240,22.5845075590587,25.0501053640182
"222",141123,0.2854,0.7146,21.5402086153846,0.566076417599006,240,20.4250960190836,22.6553212116856
"223",141124,0.2061,0.7939,20.4283006153846,0.538483209364674,240,19.3675438147286,21.4890574160406
"224",141125,0.3038,0.6962,21.7982049230769,0.572640332008664,240,20.6701620873035,22.9262477588503
"225",141126,0.3475,0.6525,22.4109461538462,0.588452561766378,240,21.2517548440677,23.5701374636246
"226",141127,0.2478,0.7522,21.0129987692308,0.552847309581132,240,19.9239461615284,22.1020513769332
"227",141128,0.2511,0.7489,21.0592698461538,0.553998145723522,240,19.9679502090562,22.1505894832515
"228",141129,0.5599,0.4401,25.3891209230769,0.669097454026613,240,24.0710674307541,26.7071744153998
"229",141130,0.3229,0.6771,22.0660163076923,0.579513698995062,240,20.9244336425474,23.2075989728372
"230",140701,0.4412,0.5588,23.7247643076923,0.623317739975637,240,22.4968921658129,24.9526364495717
"231",140781,0.5714,0.4286,25.5503686153846,0.67361628122766,240,24.2234134960451,26.8773237347241
"232",140721,0.296,0.704,21.6888369230769,0.569850790665494,240,20.5662891981984,22.8113846479555
"233",140722,0.3633,0.6367,22.6324864615385,0.594243135332739,240,21.4618883145859,23.803084608491
"234",140723,0.3883,0.6117,22.9830249230769,0.603481165919253,240,21.7942288015193,24.1718210446346
"235",140724,0.2622,0.7378,21.2149089230769,0.557883795867615,240,20.1159349529497,22.3138828932041
"236",140725,0.2959,0.7041,21.6874347692308,0.569815093877289,240,20.5649573633709,22.8099121750906
"237",140726,0.3882,0.6118,22.9816227692308,0.603444033525215,240,21.7928997946883,24.1703457437732
"238",140727,0.3057,0.6943,21.8248458461538,0.573321379014994,240,20.6954614174933,22.9542302748144
"239",140728,0.3423,0.6577,22.3380341538462,0.586555144505762,240,21.1825805618422,23.4934877458501
"240",140729,0.4274,0.5726,23.5312670769231,0.618106619307494,240,22.313660309324,24.7488738445222
"241",141001,0.4078,0.5922,23.2564449230769,0.610748905136591,240,22.0533320992227,24.4595577469312
"242",141081,0.5709,0.4291,25.5433578461538,0.673419526587389,240,24.2167903133149,26.8699253789928
"243",141082,0.5544,0.4456,25.3120024615385,0.66694114886897,240,23.9981966696461,26.6258082534308
"244",141021,0.3029,0.6971,21.7855855384615,0.572317940911522,240,20.658177780148,22.9129932967751
"245",141022,0.2885,0.7115,21.5836753846154,0.567178252797126,240,20.4663922857634,22.7009584834674
"246",141023,0.308,0.692,21.8570953846154,0.574146607219632,240,20.7260853408661,22.9881054283646
"247",141024,0.3282,0.6718,22.1403304615385,0.581431468949131,240,20.9949699858964,23.2856909371805
"248",141025,0.3195,0.6805,22.0183430769231,0.578285809805301,240,20.8791792277892,23.1575069260569
"249",141026,0.3188,0.6812,22.008528,0.578033241202988,240,20.8698616851585,23.1471943148415
"250",141027,0.293,0.707,21.6467723076923,0.568780625019132,240,20.5263326995897,22.7672119157949
"251",141028,0.2548,0.7452,21.1111495384615,0.555290863008793,240,20.0172833806408,22.2050156962823
"252",141029,0.2687,0.7313,21.3060489230769,0.56016952894572,240,20.2025722927647,22.4095255533891
"253",141033,0.3806,0.6194,22.8750590769231,0.600626163155634,240,21.6918870185576,24.0582311352885
"254",141030,0.3647,0.6353,22.6521166153846,0.594758038077405,240,21.4805041627331,23.8237290680362
"255",141032,0.33,0.67,22.1655692307692,0.582083807894376,240,21.0189237141817,23.3122147473568
"256",141031,0.3592,0.6408,22.5749981538462,0.592736892253716,240,21.4073671515729,23.7426291561195
"257",141034,0.3532,0.6468,22.4908689230769,0.590537198429228,240,21.3275710924664,23.6541667536875
"258",140801,0.3756,0.6244,22.8049513846154,0.598776849003405,240,21.6254222858249,23.9844804834059
"259",140881,0.4026,0.5974,23.1835329230769,0.608805649537937,240,21.9842481138308,24.382817732323
"260",140882,0.4445,0.5555,23.7710353846154,0.624567551533913,240,22.5407012419031,25.0013695273277
"261",140830,0.3839,0.6161,22.9213301538462,0.601848692997249,240,21.7357498368369,24.1069104708554
"262",140821,0.3203,0.6797,22.0295603076923,0.578574556844789,240,20.8898276564482,23.1692929589364
"263",140822,0.1982,0.8018,20.3175304615385,0.535800446460316,240,19.2620584291832,21.3730024938937
"264",140825,0.331,0.669,22.1795907692308,0.582446440952691,240,21.0322309026392,23.3269506358223
"265",140824,0.2885,0.7115,21.5836753846154,0.567178252797126,240,20.4663922857634,22.7009584834674
"266",140823,0.3859,0.6141,22.9493732307692,0.602590382550079,240,21.7623318612639,24.1364146002746
"267",140828,0.2232,0.7768,20.6680689230769,0.544332849882039,240,19.5957889293997,21.7403489167541
"268",140826,0.4423,0.5577,23.740188,0.623734187692157,240,22.5114954987487,24.9688805012513
