GBCODE,Incidence,SSHID,X,Y
371323,23.3,2,118.5966428,35.90930485
371402,60.07,1,116.3223057,37.44919384
371602,27.02,1,117.9693105,37.42420742
371724,26.07,2,116.0210505,35.27931288
410300,36.74,1,112.4260151,34.65799322
410323,13.39,2,112.1154539,34.83120604
410324,16.95,2,111.6030813,33.90966972
410325,14.09,2,112.0363736,34.00802144
410326,22.82,2,112.4219668,34.05974978
410381,27.84,1,112.7189025,34.62550145
410423,18.82,2,112.7172301,33.74795487
410581,23.56,1,113.8468186,36.01257272
410600,27.57,1,114.1537968,35.90349188
411081,28.01,1,113.3791458,34.19591423
411103,29.84,1,114.0242686,33.60285263
411104,42.2,1,114.0494613,33.5668197
411200,29.38,1,111.2646314,34.76702949
411303,28.87,1,112.5401166,32.97241125
411425,20.73,2,115.9000437,34.36848956
411521,16.72,2,114.4287288,32.02605685
419001,24.78,1,112.3917728,35.09977216
420100,38.63,1,114.2230122,30.56758551
420321,13.36,2,110.7232727,32.86377005
420529,16.07,2,110.7005954,30.17201856
420581,37.1,1,111.3680713,30.29182822
420821,20.02,2,113.1022534,31.08465083
420881,28.54,1,112.5728255,31.24165562
420923,25.18,2,113.7680034,31.00389743
421022,24.16,2,112.1438994,29.95306726
421181,23.1,1,115.0764462,31.21326687
421221,17.7,2,113.9558932,30.01268132
430102,46.99,1,112.9953532,28.1708065
430223,14.62,2,113.4757593,27.17063555
430302,30,1,112.9690122,27.88790069
430424,11.32,2,113.0152145,27.08119634
430602,29.46,1,113.1825975,29.44409373
430702,23.14,1,111.7566884,29.02137463
430821,14.52,2,110.9268172,29.39628734
430902,24.43,1,112.2741723,28.64610829
431025,16.3,2,112.5542158,25.33880045
431128,17.61,2,112.2196159,25.88614778
431226,15.43,2,109.7184162,27.78891445
440100,43.87,1,113.3651946,23.23168997
440282,23.08,1,114.0374259,24.68299074
440300,62.23,1,114.0177407,22.4331393
440400,30.93,1,113.3224578,22.19358014
440605,22.76,1,113.0284863,23.06582705
440606,30.91,1,113.1814636,22.84660116
440700,37.82,1,113.1090726,22.59666273
441202,33.83,1,112.4779318,23.09293866
